"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_BP_DIRECT","cell adhesion","11.12%","104","865","677","19512","6.34e-29","2.59e-25","3.47","2.59e-25","2.53e-25","1.62e-29"
"GOTERM_BP_DIRECT","collagen fibril organization","3.10%","29","865","65","19512","3.15e-21","6.44e-18","10.06","1.29e-17","6.27e-18","1.86e-22"
"GOTERM_BP_DIRECT","angiogenesis","5.78%","54","865","292","19512","9.46e-19","1.29e-15","4.17","3.87e-15","1.26e-15","1.94e-19"
"GOTERM_BP_DIRECT","extracellular matrix organization","3.74%","35","865","147","19512","1.05e-15","1.07e-12","5.37","4.08e-12","1.05e-12","1.41e-16"
"GOTERM_BP_DIRECT","cell migration","5.35%","50","865","306","19512","4.41e-15","3.60e-12","3.69","1.81e-11","3.51e-12","1.03e-15"
"GOTERM_BP_DIRECT","endodermal cell differentiation","1.93%","18","865","37","19512","5.73e-14","3.90e-11","10.97","2.34e-10","3.80e-11","2.91e-15"
"GOTERM_BP_DIRECT","basement membrane organization","1.50%","14","865","29","19512","8.08e-11","4.72e-8","10.89","3.30e-7","4.60e-8","4.26e-12"
"GOTERM_BP_DIRECT","positive regulation of cell migration","4.49%","42","865","300","19512","1.36e-10","6.97e-8","3.16","5.57e-7","6.79e-8","3.90e-11"
"GOTERM_BP_DIRECT","cell-cell adhesion","3.74%","35","865","225","19512","3.56e-10","1.62e-7","3.51","1.45e-6","1.58e-7","8.92e-11"
"GOTERM_BP_DIRECT","integrin-mediated signaling pathway","2.46%","23","865","114","19512","4.81e-9","1.96e-6","4.55","1.96e-5","1.91e-6","8.82e-10"
"GOTERM_BP_DIRECT","extracellular matrix disassembly","1.60%","15","865","46","19512","6.41e-9","2.38e-6","7.36","2.62e-5","2.32e-6","6.29e-10"
"GOTERM_BP_DIRECT","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","3.32%","31","865","217","19512","3.14e-8","1.01e-5","3.22","1.28e-4","9.85e-6","8.68e-9"
"GOTERM_BP_DIRECT","cellular response to amino acid stimulus","1.82%","17","865","68","19512","3.22e-8","1.01e-5","5.64","1.31e-4","9.85e-6","4.51e-9"
"GOTERM_BP_DIRECT","osteoblast differentiation","2.57%","24","865","138","19512","3.95e-8","1.15e-5","3.92","1.61e-4","1.12e-5","8.67e-9"
"GOTERM_BP_DIRECT","lung development","2.25%","21","865","109","19512","5.82e-8","1.58e-5","4.35","2.38e-4","1.54e-5","1.13e-8"
"GOTERM_BP_DIRECT","collagen catabolic process","1.39%","13","865","41","19512","1.27e-7","3.24e-5","7.15","5.18e-4","3.16e-5","1.30e-8"
"GOTERM_BP_DIRECT","axon guidance","2.99%","28","865","198","19512","2.02e-7","4.87e-5","3.19","8.27e-4","4.74e-5","5.65e-8"
"GOTERM_BP_DIRECT","cell-matrix adhesion","2.14%","20","865","108","19512","2.48e-7","5.63e-5","4.18","1.01e-3","5.49e-5","5.05e-8"
"GOTERM_BP_DIRECT","cell division","4.81%","45","865","433","19512","2.70e-7","5.81e-5","2.34","1.10e-3","5.66e-5","1.09e-7"
"GOTERM_BP_DIRECT","endothelial cell migration","1.39%","13","865","47","19512","6.57e-7","1.34e-4","6.24","2.68e-3","1.31e-4","8.09e-8"
"GOTERM_BP_DIRECT","actin cytoskeleton organization","3.21%","30","865","239","19512","8.85e-7","1.72e-4","2.83","3.61e-3","1.68e-4","2.86e-7"
"GOTERM_BP_DIRECT","embryonic digit morphogenesis","1.50%","14","865","60","19512","1.72e-6","3.19e-4","5.26","7.00e-3","3.11e-4","2.64e-7"
"GOTERM_BP_DIRECT","regulation of cell shape","2.25%","21","865","136","19512","2.32e-6","4.12e-4","3.48","9.43e-3","4.02e-4","5.84e-7"
"GOTERM_BP_DIRECT","neuron projection development","2.46%","23","865","162","19512","2.87e-6","4.88e-4","3.20","1.16e-2","4.76e-4","7.96e-7"
"GOTERM_BP_DIRECT","semaphorin-plexin signaling pathway","1.28%","12","865","45","19512","3.07e-6","5.01e-4","6.02","1.25e-2","4.89e-4","3.97e-7"
"GOTERM_BP_DIRECT","positive regulation of cell-substrate adhesion","1.18%","11","865","37","19512","3.22e-6","5.06e-4","6.71","1.31e-2","4.94e-4","3.62e-7"
"GOTERM_BP_DIRECT","negative regulation of neuron projection development","1.60%","15","865","76","19512","5.34e-6","8.08e-4","4.45","2.16e-2","7.87e-4","1.01e-6"
"GOTERM_BP_DIRECT","heart development","3.32%","31","865","280","19512","7.54e-6","1.06e-3","2.50","3.03e-2","1.04e-3","2.81e-6"
"GOTERM_BP_DIRECT","insulin-like growth factor receptor signaling pathway","1.07%","10","865","33","19512","9.27e-6","1.24e-3","6.84","3.72e-2","1.21e-3","1.02e-6"
"GOTERM_BP_DIRECT","kidney development","2.25%","21","865","149","19512","9.58e-6","1.24e-3","3.18","3.84e-2","1.21e-3","2.68e-6"
"GOTERM_BP_DIRECT","cellular response to transforming growth factor beta stimulus","1.50%","14","865","70","19512","1.05e-5","1.30e-3","4.51","4.20e-2","1.27e-3","1.95e-6"
"GOTERM_BP_DIRECT","wound healing","1.60%","15","865","82","19512","1.33e-5","1.60e-3","4.13","5.31e-2","1.56e-3","2.75e-6"
"GOTERM_BP_DIRECT","tissue development","1.28%","12","865","54","19512","2.01e-5","2.35e-3","5.01","7.88e-2","2.29e-3","3.28e-6"
"GOTERM_BP_DIRECT","anatomical structure morphogenesis","2.35%","22","865","170","19512","2.11e-5","2.40e-3","2.92","8.26e-2","2.33e-3","6.50e-6"
