"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_CC_DIRECT","extracellular matrix","12.73%","119","895","492","20808","2.56e-55","1.86e-52","5.62","1.86e-52","1.62e-52","3.62e-56"
"GOTERM_CC_DIRECT","endoplasmic reticulum lumen","7.91%","74","895","322","20808","1.38e-32","5.03e-30","5.34","1.01e-29","4.39e-30","2.09e-33"
"GOTERM_CC_DIRECT","basement membrane","4.49%","42","895","102","20808","1.62e-29","3.93e-27","9.57","1.18e-26","3.43e-27","1.06e-30"
"GOTERM_CC_DIRECT","extracellular space","18.40%","172","895","1895","20808","1.11e-21","2.01e-19","2.11","8.05e-19","1.75e-19","4.99e-22"
"GOTERM_CC_DIRECT","extracellular region","23.21%","217","895","2693","20808","3.88e-21","5.64e-19","1.87","2.82e-18","4.92e-19","1.99e-21"
"GOTERM_CC_DIRECT","extracellular exosome","20.32%","190","895","2242","20808","1.08e-20","1.31e-18","1.97","7.88e-18","1.15e-18","5.26e-21"
"GOTERM_CC_DIRECT","collagen trimer","3.42%","32","895","104","20808","3.22e-18","3.34e-16","7.15","2.34e-15","2.91e-16","3.30e-19"
"GOTERM_CC_DIRECT","focal adhesion","6.84%","64","895","438","20808","2.06e-17","1.88e-15","3.40","1.50e-14","1.64e-15","5.43e-18"
"GOTERM_CC_DIRECT","cell surface","8.34%","78","895","701","20808","3.45e-14","2.78e-12","2.59","2.50e-11","2.43e-12","1.22e-14"
"GOTERM_CC_DIRECT","anchoring junction","5.24%","49","895","423","20808","8.93e-10","6.49e-8","2.69","6.49e-7","5.66e-8","3.07e-10"
"GOTERM_CC_DIRECT","plasma membrane","36.04%","337","895","5927","20808","1.17e-9","7.76e-8","1.32","8.54e-7","6.77e-8","8.68e-10"
"GOTERM_CC_DIRECT","cell junction","3.32%","31","895","211","20808","8.44e-9","5.11e-7","3.42","6.13e-6","4.46e-7","2.19e-9"
"GOTERM_CC_DIRECT","lysosomal lumen","2.14%","20","895","99","20808","3.68e-8","2.06e-6","4.70","2.67e-5","1.79e-6","6.53e-9"
"GOTERM_CC_DIRECT","stress fiber","1.93%","18","895","86","20808","1.22e-7","5.90e-6","4.87","8.84e-5","5.15e-6","2.07e-8"
"GOTERM_CC_DIRECT","membrane","49.73%","465","895","9038","20808","1.22e-7","5.90e-6","1.20","8.85e-5","5.15e-6","1.01e-7"
"GOTERM_CC_DIRECT","fibrillar collagen trimer","0.75%","7","895","9","20808","4.65e-7","2.11e-5","18.08","3.38e-4","1.84e-5","8.88e-9"
"GOTERM_CC_DIRECT","nuclear chromosome","1.18%","11","895","33","20808","7.66e-7","3.28e-5","7.75","5.57e-4","2.86e-5","7.11e-8"
"GOTERM_CC_DIRECT","ruffle","2.03%","19","895","109","20808","8.77e-7","3.54e-5","4.05","6.37e-4","3.09e-5","1.86e-7"
"GOTERM_CC_DIRECT","cell cortex","2.67%","25","895","188","20808","1.88e-6","7.18e-5","3.09","1.36e-3","6.26e-5","5.44e-7"
"GOTERM_CC_DIRECT","cytoskeleton","11.34%","106","895","1569","20808","3.36e-6","1.19e-4","1.57","2.44e-3","1.04e-4","2.10e-6"
"GOTERM_CC_DIRECT","cell-cell junction","2.78%","26","895","208","20808","3.49e-6","1.19e-4","2.91","2.54e-3","1.04e-4","1.09e-6"
"GOTERM_CC_DIRECT","lamellipodium","2.67%","25","895","195","20808","3.59e-6","1.19e-4","2.98","2.61e-3","1.04e-4","1.09e-6"
"GOTERM_CC_DIRECT","platelet alpha granule lumen","1.50%","14","895","68","20808","5.45e-6","1.72e-4","4.79","3.96e-3","1.50e-4","9.47e-7"
"GOTERM_CC_DIRECT","actin cytoskeleton","3.42%","32","895","302","20808","7.11e-6","2.15e-4","2.46","5.15e-3","1.88e-4","2.65e-6"
