"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"KEGG_PATHWAY","Cytoskeleton in muscle cells","5.99%","56","488","233","9496","1.49e-22","4.45e-20","4.68","4.72e-20","3.93e-20","2.56e-23"
"KEGG_PATHWAY","Focal adhesion","5.56%","52","488","203","9496","2.81e-22","4.45e-20","4.98","8.90e-20","3.93e-20","4.44e-23"
"KEGG_PATHWAY","ECM-receptor interaction","3.53%","33","488","89","9496","1.81e-19","1.91e-17","7.22","5.72e-17","1.68e-17","1.69e-20"
"KEGG_PATHWAY","PI3K-Akt signaling pathway","5.78%","54","488","362","9496","2.39e-12","1.90e-10","2.90","7.58e-10","1.67e-10","7.35e-13"
"KEGG_PATHWAY","Proteoglycans in cancer","3.74%","35","488","204","9496","8.16e-10","5.17e-8","3.34","2.59e-7","4.57e-8","2.12e-10"
"KEGG_PATHWAY","Protein digestion and absorption","2.46%","23","488","105","9496","1.19e-8","6.28e-7","4.26","3.77e-6","5.55e-7","2.30e-9"
"KEGG_PATHWAY","Regulation of actin cytoskeleton","3.74%","35","488","232","9496","2.44e-8","1.10e-6","2.94","7.73e-6","9.76e-7","7.33e-9"
"KEGG_PATHWAY","Pathways in cancer","6.20%","58","488","533","9496","7.14e-8","2.83e-6","2.12","2.26e-5","2.50e-6","3.14e-8"
"KEGG_PATHWAY","Human papillomavirus infection","4.49%","42","488","333","9496","1.37e-7","4.82e-6","2.45","4.34e-5","4.26e-6","5.04e-8"
"KEGG_PATHWAY","Small cell lung cancer","2.14%","20","488","93","9496","1.82e-7","5.77e-6","4.18","5.77e-5","5.09e-6","3.59e-8"
"KEGG_PATHWAY","Amoebiasis","2.14%","20","488","103","9496","9.63e-7","2.77e-5","3.78","3.05e-4","2.45e-5","2.16e-7"
"KEGG_PATHWAY","Prostate cancer","1.93%","18","488","106","9496","2.49e-5","6.58e-4","3.30","7.87e-3","5.82e-4","6.54e-6"
"KEGG_PATHWAY","IgSF CAM signaling","3.53%","33","488","302","9496","7.26e-5","1.77e-3","2.13","2.28e-2","1.56e-3","3.12e-5"
"KEGG_PATHWAY","Relaxin signaling pathway","2.03%","19","488","130","9496","1.07e-4","2.43e-3","2.84","3.35e-2","2.15e-3","3.35e-5"
"KEGG_PATHWAY","AGE-RAGE signaling pathway in diabetic complications","1.71%","16","488","101","9496","1.81e-4","3.83e-3","3.08","5.58e-2","3.38e-3","5.15e-5"
"KEGG_PATHWAY","Hypertrophic cardiomyopathy","1.60%","15","488","99","9496","4.94e-4","9.79e-3","2.95","1.45e-1","8.65e-3","1.47e-4"
"KEGG_PATHWAY","Platelet activation","1.82%","17","488","126","9496","6.87e-4","1.28e-2","2.63","1.96e-1","1.13e-2","2.34e-4"
"KEGG_PATHWAY","Dilated cardiomyopathy","1.60%","15","488","105","9496","9.01e-4","1.59e-2","2.78","2.49e-1","1.40e-2","2.87e-4"
"KEGG_PATHWAY","Axon guidance","2.25%","21","488","184","9496","1.18e-3","1.87e-2","2.22","3.12e-1","1.65e-2","4.83e-4"
"KEGG_PATHWAY","Rap1 signaling pathway","2.46%","23","488","212","9496","1.26e-3","1.91e-2","2.11","3.30e-1","1.68e-2","5.48e-4"
"KEGG_PATHWAY","Arrhythmogenic right ventricular cardiomyopathy","1.39%","13","488","86","9496","1.38e-3","1.99e-2","2.94","3.55e-1","1.76e-2","4.13e-4"
"KEGG_PATHWAY","Transcriptional misregulation in cancer","2.35%","22","488","201","9496","1.49e-3","2.05e-2","2.13","3.76e-1","1.81e-2","6.37e-4"
"KEGG_PATHWAY","EGFR tyrosine kinase inhibitor resistance","1.28%","12","488","80","9496","2.44e-3","3.22e-2","2.92","5.38e-1","2.84e-2","7.33e-4"
"KEGG_PATHWAY","Central carbon metabolism in cancer","1.18%","11","488","71","9496","3.16e-3","4.01e-2","3.01","6.34e-1","3.54e-2","9.17e-4"
"KEGG_PATHWAY","Cell adhesion molecules","1.93%","18","488","160","9496","3.41e-3","4.16e-2","2.19","6.61e-1","3.67e-2","1.41e-3"
"KEGG_PATHWAY","Melanoma","1.18%","11","488","73","9496","3.89e-3","4.56e-2","2.93","7.09e-1","4.03e-2","1.16e-3"
"KEGG_PATHWAY","Complement and coagulation cascades","1.28%","12","488","88","9496","5.15e-3","5.83e-2","2.65","8.06e-1","5.15e-2","1.72e-3"
"KEGG_PATHWAY","Fluid shear stress and atherosclerosis","1.71%","16","488","142","9496","6.09e-3","6.62e-2","2.19","8.56e-1","5.85e-2","2.51e-3"
"KEGG_PATHWAY","Bacterial invasion of epithelial cells","1.18%","11","488","78","9496","6.27e-3","6.62e-2","2.74","8.64e-1","5.85e-2","2.02e-3"
"KEGG_PATHWAY","Vascular smooth muscle contraction","1.60%","15","488","134","9496","8.68e-3","8.88e-2","2.18","9.37e-1","7.84e-2","3.60e-3"

