"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_MF_DIRECT","extracellular matrix structural constituent","5.56%","52","871","127","19272","2.17e-35","2.55e-32","9.06","2.55e-32","2.44e-32","1.50e-36"
"GOTERM_MF_DIRECT","integrin binding","4.49%","42","871","161","19272","4.65e-20","2.73e-17","5.77","5.47e-17","2.62e-17","6.29e-21"
"GOTERM_MF_DIRECT","collagen binding","2.99%","28","871","71","19272","1.31e-18","5.12e-16","8.73","1.53e-15","4.90e-16","9.72e-20"
"GOTERM_MF_DIRECT","protein binding","76.68%","717","871","13741","19272","1.14e-14","3.35e-12","1.15","1.34e-11","3.21e-12","9.87e-15"
"GOTERM_MF_DIRECT","extracellular matrix structural constituent conferring tensile strength","2.03%","19","871","44","19272","1.73e-13","4.07e-11","9.55","2.04e-10","3.90e-11","1.12e-14"
"GOTERM_MF_DIRECT","heparin binding","3.53%","33","871","176","19272","1.38e-11","2.70e-9","4.15","1.62e-8","2.59e-9","2.83e-12"
"GOTERM_MF_DIRECT","extracellular matrix binding","1.60%","15","871","33","19272","4.84e-11","8.12e-9","10.06","5.69e-8","7.78e-9","2.88e-12"
"GOTERM_MF_DIRECT","fibronectin binding","1.28%","12","871","30","19272","3.70e-8","5.43e-6","8.85","4.35e-5","5.21e-6","2.74e-9"
"GOTERM_MF_DIRECT","ATP binding","12.41%","116","871","1549","19272","6.30e-8","8.23e-6","1.66","7.41e-5","7.89e-6","3.64e-8"
"GOTERM_MF_DIRECT","nucleotide binding","14.12%","132","871","1839","19272","7.42e-8","8.72e-6","1.59","8.72e-5","8.36e-6","4.59e-8"
"GOTERM_MF_DIRECT","actin binding","4.81%","45","871","412","19272","1.13e-7","1.11e-5","2.42","1.33e-4","1.06e-5","4.25e-8"
"GOTERM_MF_DIRECT","growth factor binding","1.50%","14","871","51","19272","2.86e-7","2.58e-5","6.07","3.36e-4","2.48e-5","3.63e-8"
"GOTERM_MF_DIRECT","calcium ion binding","6.95%","65","871","744","19272","5.69e-7","4.78e-5","1.93","6.68e-4","4.58e-5","2.76e-7"
"GOTERM_MF_DIRECT","metalloendopeptidase activity","2.03%","19","871","109","19272","1.76e-6","1.22e-4","3.86","2.07e-3","1.17e-4","3.93e-7"
"GOTERM_MF_DIRECT","identical protein binding","13.37%","125","871","1824","19272","2.04e-6","1.33e-4","1.52","2.39e-3","1.27e-4","1.28e-6"
