"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"A1BG" 9.45871493536964 -0.0337073650926411 1.16075529412803 -0.0290391655012544 0.976833354202032 0.997431192960773
"A1BG-AS1" 14.4806654505657 0.503574697798847 0.902946611413125 0.557701520149397 0.577048219474918 0.950577814470802
"A1CF" 2.86046885919377 -1.0072296843375 2.21622380431038 -0.454480130742443 0.649483289677041 NA
"A2M" 5.55902236291422 0.147419954945026 1.89497133438155 0.0777953482832703 0.937990846768557 NA
"A2M-AS1" 4.83753313868688 1.59513044083761 1.50702280594825 1.05846469910183 0.289843636374131 NA
"A2ML1" 9.31854973344566 -1.19652501257264 1.08905055136715 -1.0986863842735 0.27190488353383 0.797660173043753
"A2ML1-AS1" 0.28514707102464 1.65094625022856 4.9809796702113 0.331450108118695 0.740304520970826 NA
"A2MP1" 1.47374241335524 0.0714023594096791 2.85463783007245 0.0250127559641661 0.980044789004342 NA
"A3GALT2" 1.44127253523105 -3.92208347386103 3.24945141828384 -1.20699864961589 0.22743266402456 NA
"A4GALT" 1799.30824533021 0.946092383118935 0.0941289201333753 10.0510276945531 9.09142980070296e-24 1.35105640245985e-21
"A4GNT" 0.474280813941532 0.0653241591525507 4.990275110933 0.013090292158329 0.989555756271523 NA
"AAAS" 1428.10178027427 0.0985935565831332 0.105058991882852 0.938459001139773 0.348008577079789 0.854342914306602
"AAAS_1" 1428.10178027427 0.0985935565831332 0.105058991882852 0.938459001139773 0.348008577079789 0.854342914306602
"AACS" 1471.3221919097 -0.0415387851481884 0.0952015220060831 -0.43632480104188 0.662601090177814 0.969169477676044
"AACSP1" 2.63940036242561 -3.24689370590135 2.5669504791862 -1.26488365561719 0.205913037178315 NA
"AADAC" 0.480602553167989 -2.33758463478015 4.89226991299739 -0.47781186981729 0.632784112073485 NA
"AADACL2" 0.240568838720453 -1.33874194226819 4.99728968972937 -0.267893603410591 0.78878121754043 NA
"AADACL2-AS1" 0.481137677440906 -2.33904432397806 4.8921623602591 -0.478120747377276 0.632564265985691 NA
"AADACL4" 0.480602553167989 -2.33758463478015 4.89226991299739 -0.47781186981729 0.632784112073485 NA
"AADACP1" 8.21182763373611 0.19742813987205 1.30901491289028 0.150821918014771 0.880116195967351 NA
"AADAT" 844.677359101045 -0.0872520307847193 0.123874837910173 -0.704356366932158 0.481210871552735 0.917630325488825
"AAGAB" 2824.25382466879 0.0630054038024503 0.084878607508011 0.742300158452809 0.457905495845354 0.907174238537086
"AAK1" 2919.55754740511 -0.221293645231997 0.0828366820730925 -2.67144506146123 0.00755254344775882 0.0979245549444648
"AAMDC" 283.082546107164 -0.0740011946392309 0.20281756437261 -0.364865808679559 0.715211578093 0.976928458933214
