"",""SRR349743"",""SRR349744"",""SRR349745"",""SRR349746"",""SRR349747"",""SRR349748"",""SRR349749"",""SRR349750"",""SRR349751"",""SRR349752""
DDX11L1,0,0,0,0,0,0,0,0,0,0
WASH7P,1,0,1,0,1,0,8,0,0,1
MIR6859-1,0,0,0,0,0,0,0,0,0,0
MIR1302-2HG,0,0,0,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0,0,0,0
LOC124903816,0,0,0,0,0,0,0,0,0,0
LOC124900384,3,0,0,0,1,0,1,0,0,0
LOC729737,2,0,1,1,0,0,3,0,0,0
LOC124903814,0,0,0,0,0,0,1,0,0,0
DDX11L17,0,0,0,0,0,0,0,0,0,0
WASH9P,3,0,0,1,1,1,10,1,0,0
MIR6859-2,0,0,0,0,0,0,0,0,0,0
LOC127239154,1,0,0,0,0,0,6,0,0,0
LOC124903815,0,0,0,0,0,0,0,0,0,0
LOC124900618,1,0,0,0,0,0,4,0,0,0
LOC112268260,0,0,0,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0,0,0,0
LOC100132287,1,0,0,0,0,1,3,0,0,1
LOC124904706,0,0,0,0,0,0,0,0,0,0
LOC105378947,0,0,0,0,0,0,0,0,0,0
LOC101928626,0,0,0,0,0,0,0,0,0,0
MIR12136,55,4,3,5,2,3,304,1,8,1
OR4F16,0,0,0,0,0,0,1,0,0,0
LOC100288069,4,0,0,1,0,0,4,1,1,0
LINC01409,2,0,0,0,0,0,0,0,0,0
LOC124903817,1,0,0,0,0,0,0,0,0,0
FAM87B,1,0,0,0,0,0,1,0,0,0
LINC00115,2,0,0,2,0,1,0,0,0,1
LINC01128,11,0,1,0,1,0,2,0,0,0
LOC107984850,0,0,0,0,0,0,1,0,0,0
FAM41C,2,0,0,0,0,0,0,0,0,0
LOC284600,7,0,0,0,0,0,2,0,0,1
LINC02593,2,0,0,0,0,0,1,0,0,1
LOC107985728,8,0,0,0,0,0,7,0,1,0
SAMD11,52,1,0,0,0,0,11,0,0,0
NOC2L,54,1,1,2,1,2,36,0,0,2
KLHL17,10,1,0,0,0,0,12,0,0,1
PLEKHN1,8,0,0,1,0,4,80,0,3,2
PERM1,4,0,0,1,0,1,26,0,2,0
HES4,35,0,1,2,0,2,9,1,0,0
ISG15,62,1,0,1,11,1,35,1,0,0
